"MP","club","firstName","lastName","listVotes.AST MAREK","listVotes.GASIUK-PIHOWICZ KAMILA","listVotes.KOWNACKI BARTOSZ JÓZEF","listVotes.KROPIWNICKI ROBERT","listVotes.MULARCZYK ARKADIUSZ","listVotes.SMOLIŃSKI KAZIMIERZ","listVotes.ZIMOCH TOMASZ FRANCISZEK","listVotes.ŻUKOWSKA ANNA MARIA","secondName","vote"
 15,"PSL-TD","Paweł","Bejda",NO,YES,NO,YES,NO,NO,YES,YES,"Jan","VOTE_VALID"
 16,"Konfederacja","Konrad","Berkowicz",NO,NO,NO,NO,NO,NO,NO,NO,"Szczepan","VOTE_VALID"
 17,"KO","Sylwia","Bielawska",NO,YES,NO,YES,NO,NO,YES,YES,"Alina","VOTE_VALID"
 18,"PSL-TD","Marek","Biernacki",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
 19,"KO","Paweł","Bliźniuk",NO,YES,NO,YES,NO,NO,YES,YES,"Kazimierz","VOTE_VALID"
 20,"PiS","Mariusz","Błaszczak",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
 21,"KO","Mateusz","Bochenek",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
 22,"PiS","Rafał","Bochenek",YES,NO,YES,NO,YES,YES,NO,NO,"Paweł","VOTE_VALID"
 23,"Polska2050-TD","Izabela","Bodnar",NO,YES,NO,YES,NO,NO,YES,YES,"Anna","VOTE_VALID"
 24,"PiS","Jacek","Bogucki",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
 25,"PiS","Zbigniew","Bogucki",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
 26,"KO","Krzysztof","Bojarski",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
 27,"PiS","Joanna","Borowiak",YES,NO,YES,NO,YES,YES,NO,NO,"Beata","VOTE_VALID"
 28,"PiS","Kamil","Bortniczuk",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
 29,"KO","Piotr","Borys",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
 30,"PiS","Bożena","Borys-Szopa",YES,NO,YES,NO,YES,YES,NO,NO,"Teresa","VOTE_VALID"
 31,"KO","Marcin","Bosacki",NO,YES,NO,YES,NO,NO,YES,YES,"Rafał","VOTE_VALID"
 32,"Konfederacja","Karina","Bosak",NO,NO,NO,NO,NO,NO,NO,NO,"Anna","VOTE_VALID"
 33,"Konfederacja","Krzysztof","Bosak",NO,NO,NO,NO,NO,NO,NO,NO,NA,"VOTE_VALID"
 34,"Konfederacja","Grzegorz","Braun",NO,NO,NO,NO,NO,NO,NO,NO,"Michał","VOTE_VALID"
 35,"KO","Krzysztof","Brejza",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
 36,"Polska2050-TD","Agnieszka","Buczyńska",NO,YES,NO,YES,NO,NO,YES,YES,"MARIA","VOTE_VALID"
 37,"PiS","Waldemar","Buda",YES,NO,YES,NO,YES,YES,NO,NO,"Grzegorz","VOTE_VALID"
 38,"KO","Borys","Budka",NO,YES,NO,YES,NO,NO,YES,YES,"Piotr","VOTE_VALID"
 39,"Polska2050-TD","Elżbieta","Burkiewicz",NO,YES,NO,YES,NO,NO,YES,YES,"Jolanta","VOTE_VALID"
 40,"PiS","Lidia","Burzyńska",YES,NO,YES,NO,YES,YES,NO,NO,"Ewa","VOTE_VALID"
 41,"KO","Marek","Chmielewski",NO,YES,NO,YES,NO,NO,YES,YES,"Jan","VOTE_VALID"
 42,"PiS","Zbigniew","Chmielowiec",YES,NO,YES,NO,YES,YES,NO,NO,"Michał","VOTE_VALID"
 43,"PiS","Artur","Chojecki",YES,NO,YES,NO,YES,YES,NO,NO,"Henryk","VOTE_VALID"
 44,"PiS","Kazimierz","Choma",YES,NO,YES,NO,YES,YES,NO,NO,"Bogusław","VOTE_VALID"
 45,"PiS","Dominika","Chorosińska",YES,NO,YES,NO,YES,YES,NO,NO,"Małgorzata","VOTE_VALID"
 46,"PiS","Tadeusz","Chrzan",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
 47,"KO","Alicja","Chybicka",NO,YES,NO,YES,NO,NO,YES,YES,"Paulina","VOTE_VALID"
 48,"PiS","Anna","Cicholska",YES,NO,YES,NO,YES,YES,NO,NO,"Ewa","VOTE_VALID"
 49,"KO","Janusz","Cichoń",NO,YES,NO,YES,NO,NO,YES,YES,"Władysław","VOTE_VALID"
 50,"PiS","Krzysztof","Ciecióra",YES,NO,YES,NO,YES,YES,NO,NO,"Jan","VOTE_VALID"
 51,"PiS","Janusz","Cieszyński",YES,NO,YES,NO,YES,YES,NO,NO,"Antoni","VOTE_VALID"
 52,"PiS","Michał","Cieślak",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
 53,"Polska2050-TD","Żaneta","Cwalina-Śliwowska",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
 54,"PiS","Krzysztof","Czarnecki",YES,NO,YES,NO,YES,YES,NO,NO,"Władysław","VOTE_VALID"
 55,"PiS","Witold","Czarnecki",YES,NO,YES,NO,YES,YES,NO,NO,"Wojciech","VOTE_VALID"
 56,"PiS","Przemysław","Czarnek",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
 57,"PiS","Arkadiusz","Czartoryski",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
 58,"Lewica","Włodzimierz","Czarzasty",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
 59,"Lewica","Jacek","Czerniak",NO,YES,NO,YES,NO,NO,YES,YES,"Andrzej","VOTE_VALID"
 60,"KO","Zofia","Czernow",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
 61,"PiS","Anita","Czerwińska",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
 62,"PiS","Katarzyna","Czochara",YES,NO,YES,NO,YES,YES,NO,NO,"Beata","VOTE_VALID"
 63,"Polska2050-TD","Sławomir","Ćwik",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
 64,"PiS","Władysław","Dajczak",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
 65,"PiS","Anna","Dąbrowska-Banaszek",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
 66,"PiS","Zbigniew","Dolata",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
 67,"KO","Barbara","Dolniak",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
 68,"KO","Andrzej","Domański",NO,YES,NO,YES,NO,NO,YES,YES,"Jan","VOTE_VALID"
 69,"PiS","Bartłomiej","Dorywalski",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
 70,"KO","Robert","Dowhan",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
 71,"PiS","Przemysław","Drabek",YES,NO,YES,NO,YES,YES,NO,NO,"Mieczysław","VOTE_VALID"
 72,"PiS","Elżbieta","Duda",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
 73,"PiS","Michał","Dworczyk",YES,NO,YES,NO,YES,YES,NO,NO,"Paweł","VOTE_VALID"
 74,"PSL-TD","Adam","Dziedzic",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
 75,"PiS","Jan","Dziedziczak",YES,NO,YES,NO,YES,YES,NO,NO,"Michał","VOTE_VALID"
 76,"Lewica","Agnieszka","Dziemianowicz-Bąk",NO,YES,NO,YES,NO,NO,YES,YES,"Ewa","VOTE_VALID"
 77,"KO","Magdalena","Filiks",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
 78,"PiS","Magdalena","Filipek-Sobczak",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
 79,"PiS","Radosław","Fogiel",YES,NO,YES,NO,YES,YES,NO,NO,"Aleksander","VOTE_VALID"
 80,"Konfederacja","Bronisław","Foltyn",NO,NO,NO,NO,NO,NO,NO,NO,"Edward","VOTE_VALID"
 81,"Konfederacja","Roman","Fritz",NO,NO,NO,NO,NO,NO,NO,NO,"Henryk","VOTE_VALID"
 82,"KO","Joanna","Frydrych",NO,YES,NO,YES,NO,NO,YES,YES,"Zofia","VOTE_VALID"
 83,"KO","Konrad","Frysztak",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
 84,"KO","Patryk","Gabriel",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
 85,"KO","Krzysztof","Gadowski",NO,YES,NO,YES,NO,NO,YES,YES,"Jan","VOTE_VALID"
 86,"KO","Aleksandra","Gajewska",NO,YES,NO,YES,NO,NO,YES,YES,"Małgorzata","VOTE_VALID"
 87,"KO","Kinga","Gajewska",NO,YES,NO,YES,NO,NO,YES,YES,"Magdalena","VOTE_VALID"
 88,"KO","Elżbieta","Gapińska",NO,YES,NO,YES,NO,NO,YES,YES,"Teresa","VOTE_VALID"
 89,"KO","Kamila","Gasiuk-Pihowicz",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
 90,"Lewica","Krzysztof","Gawkowski",NO,YES,NO,YES,NO,NO,YES,YES,"Kamil","VOTE_VALID"
 91,"KO","Zdzisław","Gawlik",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
 92,"PiS","Andrzej","Gawron",YES,NO,YES,NO,YES,YES,NO,NO,"Janusz","VOTE_VALID"
 93,"PiS","Grzegorz","Gaża",YES,NO,YES,NO,YES,YES,NO,NO,"Krzysztof","VOTE_VALID"
 94,"KO","Elżbieta","Gelert",NO,YES,NO,YES,NO,NO,YES,YES,"Kazimiera","VOTE_VALID"
 95,"PiS","Anna","Gembicka",YES,NO,YES,NO,YES,YES,NO,NO,"Urszula","VOTE_VALID"
 96,"KO","Artur","Gierada",NO,YES,NO,YES,NO,NO,YES,YES,"Daniel","VOTE_VALID"
 97,"KO","Roman","Giertych",NO,YES,NO,YES,NO,NO,YES,YES,"Jacek","VOTE_VALID"
 98,"KO","Włodzisław","Giziński",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
 99,"PiS","Szymon","Giżyński",YES,NO,YES,NO,YES,YES,NO,NO,"Stanisław","VOTE_VALID"
100,"PiS","Piotr","Gliński",YES,NO,YES,NO,YES,YES,NO,NO,"Tadeusz","VOTE_VALID"
101,"KO","Tomasz","Głogowski",NO,YES,NO,YES,NO,NO,YES,YES,"Marian","VOTE_VALID"
102,"KO","Piotr","Głowski",NO,YES,NO,YES,NO,NO,YES,YES,"Krzysztof","VOTE_VALID"
103,"KO","Marta","Golbik",NO,YES,NO,YES,NO,NO,YES,YES,"Joanna","VOTE_VALID"
104,"PiS","Małgorzata","Golińska",YES,NO,YES,NO,YES,YES,NO,NO,"Joanna","VOTE_VALID"
105,"PiS","Kazimierz","Gołojuch",YES,NO,YES,NO,YES,YES,NO,NO,"Edward","VOTE_VALID"
106,"Polska2050-TD","Adam","Gomoła",NO,YES,NO,YES,NO,NO,YES,YES,"Michał","VOTE_VALID"
107,"PiS","Robert","Gontarz",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
108,"KO","Stanisław","Gorczyca",NO,YES,NO,YES,NO,NO,YES,YES,"Andrzej","VOTE_VALID"
109,"PiS","Mariusz","Gosek",YES,NO,NO,NO,YES,YES,NO,NO,"Marek","VOTE_VALID"
110,"Lewica","Daria","Gosek-Popiołek",NO,YES,NO,NO,NO,NO,YES,YES,"Iwona","VOTE_VALID"
111,"PiS","Małgorzata","Gosiewska",YES,NO,YES,NO,YES,YES,NO,NO,"Maria","VOTE_VALID"
112,"Polska2050-TD","Piotr","Górnikiewicz",NO,YES,NO,YES,NO,NO,YES,YES,"Tadeusz","VOTE_VALID"
113,"PiS","Agnieszka","Górska",YES,NO,YES,NO,YES,YES,NO,NO,"Beata","VOTE_VALID"
114,"KO","Krzysztof","Grabczuk",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
115,"KO","Jan","Grabiec",NO,YES,NO,YES,NO,NO,YES,YES,"Stanisław","VOTE_VALID"
116,"PiS","Marcin","Grabowski",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
117,"Polska2050-TD","Michał","Gramatyka",NO,YES,NO,YES,NO,NO,YES,YES,"Sebastian","VOTE_VALID"
118,"KO","Małgorzata","Gromadzka",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
119,"PiS","Marek","Gróbarczyk",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
120,"PSL-TD","Andrzej","Grzyb",NO,YES,NO,YES,NO,NO,YES,YES,"Marian","VOTE_VALID"
121,"PiS","Andrzej","Gut-Mostowy",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
122,"PiS","Kazimierz","Gwiazdowski",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
123,"PiS","Marcin","Gwóźdź",YES,NO,YES,NO,YES,YES,NO,NO,"Piotr","VOTE_VALID"
124,"KO","Marek","Gzik",NO,YES,NO,YES,NO,NO,YES,YES,"Krzysztof","VOTE_VALID"
125,"KO","Krzysztof","Habura",NO,YES,NO,YES,NO,NO,YES,YES,"Stefan","VOTE_VALID"
126,"KO","Agnieszka","Hanajczyk",NO,YES,NO,YES,NO,NO,YES,YES,"Małgorzata","VOTE_VALID"
127,"KO","Iwona","Hartwich",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
128,"Polska2050-TD","Paulina","Hennig-Kloska",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
129,"PSL-TD","Krzysztof","Hetman",NO,YES,NO,YES,NO,NO,YES,YES,"Andrzej","VOTE_VALID"
130,"PiS","Czesław","Hoc",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
131,"PiS","Zbigniew","Hoffmann",YES,NO,YES,NO,YES,YES,NO,NO,"Grzegorz","VOTE_VALID"
132,"KO","Marek","Hok",NO,YES,NO,YES,NO,NO,YES,YES,"Tomasz","VOTE_VALID"
133,"Polska2050-TD","Szymon","Hołownia",NO,YES,NO,YES,NO,NO,YES,YES,"Franciszek","VOTE_VALID"
134,"PiS","Marcin","Horała",YES,NO,YES,NO,YES,YES,NO,NO,"Michał","VOTE_VALID"
135,"KO","Łukasz","Horbatowski",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
136,"PiS","Paweł","Hreniak",YES,NO,YES,NO,YES,YES,NO,NO,"Marek","VOTE_VALID"
137,"PiS","Paweł","Jabłoński",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
138,"KO","Klaudia","Jachira",NO,YES,NO,YES,NO,NO,YES,YES,"Krystyna","VOTE_VALID"
139,"Kukiz15","Marek","Jakubiak",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
140,"KO","Maria","Janyska",NO,YES,NO,YES,NO,NO,YES,YES,"Małgorzata","VOTE_VALID"
141,"KO","Michał","Jaros",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
142,"KO","Patryk","Jaskulski",NO,YES,NO,YES,NO,NO,YES,YES,"Bartłomiej","VOTE_VALID"
143,"KO","Danuta","Jazłowiecka",NO,YES,NO,YES,NO,NO,YES,YES,"Maria","VOTE_VALID"
144,"KO","Dariusz","Joński",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
145,"KO","Marcin","Józefaciuk",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
146,"PiS","Norbert","Kaczmarczyk",YES,NO,YES,NO,YES,YES,NO,NO,"Jakub","VOTE_VALID"
147,"PiS","Filip","Kaczyński",YES,NO,YES,NO,YES,YES,NO,NO,"Roman","VOTE_VALID"
148,"PiS","Jarosław","Kaczyński",YES,NO,YES,NO,YES,YES,NO,NO,"Aleksander","VOTE_VALID"
149,"PiS","Piotr","Kaleta",YES,NO,YES,NO,YES,YES,NO,NO,"Marek","VOTE_VALID"
150,"PiS","Sebastian","Kaleta",YES,NO,YES,NO,YES,YES,NO,NO,"Jerzy","VOTE_VALID"
151,"PiS","Mariusz","Kałużny",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
152,"PiS","Mariusz","Kamiński",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
153,"KO","Piotr","Kandyba",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
154,"PiS","Jan","Kanthak",YES,NO,YES,NO,YES,YES,NO,NO,"Jakub","VOTE_VALID"
155,"PiS","Fryderyk","Kapinos",YES,NO,YES,NO,YES,YES,NO,NO,"Sylwester","VOTE_VALID"
156,"KO","Jacek","Karnowski",NO,YES,NO,YES,NO,NO,YES,YES,"Karnowski","VOTE_VALID"
157,"KO","Iwona","Karolewska",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
158,"Polska2050-TD","Rafał","Kasprzyk",NO,YES,NO,YES,NO,NO,YES,YES,"Marcin","VOTE_VALID"
159,"PSL-TD","Henryk","Kiepura",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
160,"KO","Marcin","Kierwiński",NO,YES,NO,YES,NO,NO,YES,YES,"Piotr","VOTE_VALID"
161,"KO","Katarzyna","Kierzek-Koperska",NO,YES,NO,YES,NO,NO,YES,YES,"Renata","VOTE_VALID"
162,"PSL-TD","Dariusz","Klimczak",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
163,"KO","Joanna","Kluzik-Rostkowska",NO,YES,NO,YES,NO,NO,YES,YES,"Grażyna","VOTE_VALID"
164,"PSL-TD","Agnieszka","Kłopotek",NO,YES,NO,YES,NO,NO,YES,YES,"Maria","VOTE_VALID"
165,"PiS","Łukasz","Kmita",YES,NO,YES,NO,YES,YES,NO,NO,"Marek","VOTE_VALID"
166,"Polska2050-TD","Michał","Kobosko",NO,YES,NO,YES,NO,NO,YES,YES,"Andrzej","VOTE_VALID"
167,"PiS","Maria","Koc",YES,NO,YES,NO,YES,YES,NO,NO,"Zofia","VOTE_VALID"
168,"KO","Ewa","Kołodziej",NO,YES,NO,YES,NO,NO,YES,YES,"Edyta","VOTE_VALID"
169,"KO","Magdalena","Kołodziejczak",NO,YES,NO,YES,NO,NO,YES,YES,"Małgorzata","VOTE_VALID"
170,"KO","Michał","Kołodziejczak",NO,YES,NO,YES,NO,NO,YES,NO,NA,"VOTE_VALID"
171,"Polska2050-TD","Rafał","Komarewicz",NO,YES,NO,YES,NO,NO,YES,YES,"Paweł","VOTE_VALID"
172,"Lewica","Maciej","Konieczny",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
173,"KO","Zbigniew","Konwiński",NO,YES,NO,YES,NO,NO,YES,YES,"Marek","VOTE_VALID"
174,"PSL-TD","Władysław","Kosiniak-Kamysz",NO,YES,NO,YES,NO,NO,YES,YES,"Marcin","VOTE_VALID"
175,"KO","Tomasz","Kostuś",NO,YES,NO,YES,NO,NO,YES,YES,"Tadeusz","VOTE_VALID"
176,"PiS","Andrzej","Kosztowniak",YES,NO,YES,NO,YES,YES,NO,NO,"Tomasz","VOTE_VALID"
177,"Lewica","Katarzyna","Kotula",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
178,"KO","Paweł","Kowal",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
179,"PiS","Henryk","Kowalczyk",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
180,"PiS","Janusz","Kowalski",YES,NO,YES,NO,YES,YES,NO,NO,"Marcin","VOTE_VALID"
181,"PiS","Bartosz","Kownacki",YES,NO,YES,NO,YES,YES,NO,NO,"Józef","VOTE_VALID"
182,"KO","Iwona","Kozłowska",NO,YES,NO,YES,NO,NO,YES,YES,"Maria","VOTE_VALID"
183,"PSL-TD","Stefan","Krajewski",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
184,"PiS","Wiesław","Krajewski",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
185,"PiS","Leonard","Krasulski",YES,NO,YES,NO,YES,YES,NO,NO,"Seweryn","VOTE_VALID"
186,"KO","Iwona","Krawczyk",NO,YES,NO,YES,NO,NO,YES,YES,"Małgorzata","VOTE_VALID"
187,"KO","Michał","Krawczyk",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
188,"KO","Robert","Kropiwnicki",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
189,"PiS","Piotr","Król",YES,NO,YES,NO,YES,YES,NO,NO,"Marek","VOTE_VALID"
190,"KO","Wojciech","Król",NO,YES,NO,YES,NO,NO,YES,YES,"Piotr","VOTE_VALID"
191,"PiS","Anna","Krupka",YES,NO,YES,NO,YES,YES,NO,NO,"Maria","VOTE_VALID"
192,"PiS","Andrzej","Kryj",YES,NO,YES,NO,YES,YES,NO,NO,"Michał","VOTE_VALID"
193,"PiS","Mariusz","Krystian",YES,NO,YES,NO,YES,YES,NO,NO,"Tomasz","VOTE_VALID"
194,"KO","Marek","Krząkała",NO,YES,NO,YES,NO,NO,YES,YES,"Grzegorz","VOTE_VALID"
195,"KO","Adam","Krzemiński",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
196,"KO","Henryka","Krzywonos-Strycharska",NO,YES,NO,YES,NO,NO,YES,YES,"Krystyna","VOTE_VALID"
197,"PiS","Krzysztof","Kubów",YES,NO,YES,NO,YES,YES,NO,NO,"Jan","VOTE_VALID"
198,"Lewica","Anita","Kucharska-Dziedzic",NO,YES,NO,YES,NO,NO,YES,YES,"Agnieszka","VOTE_VALID"
199,"PiS","Marek","Kuchciński",YES,NO,YES,NO,YES,YES,NO,NO,"Tadeusz","VOTE_VALID"
200,"Kukiz15","Paweł","Kukiz",YES,NO,YES,NO,YES,YES,NO,NO,"Piotr","VOTE_VALID"
201,"Lewica","Marcin","Kulasek",NO,YES,NO,YES,NO,NO,YES,YES,"Robert","VOTE_VALID"
202,"PiS","Maria","Kurowska",YES,NO,YES,NO,YES,YES,NO,NO,"Stanisława","VOTE_VALID"
203,"PiS","Władysław","Kurowski",YES,NO,YES,NO,YES,YES,NO,NO,"Michał","VOTE_VALID"
204,"PiS","Zbigniew","Kuźmiuk",YES,NO,YES,NO,YES,YES,NO,NO,"Krzysztof","VOTE_VALID"
205,"PiS","Anna","Kwiecień",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
206,"KO","Piotr","Lachowicz",NO,YES,NO,YES,NO,NO,YES,YES,"Michał","VOTE_VALID"
207,"KO","Stanisław","Lamczyk",NO,YES,NO,YES,NO,NO,YES,YES,"Józef","VOTE_VALID"
208,"KO","Maciej","Lasek",NO,YES,NO,YES,NO,NO,YES,YES,"Grzegorz","VOTE_VALID"
209,"KO","Gabriela","Lenartowicz",NO,YES,NO,YES,NO,NO,YES,YES,"Teresa","VOTE_VALID"
210,"PiS","Ewa","Leniart",YES,NO,YES,NO,YES,YES,NO,NO,"Maria","VOTE_VALID"
211,"Polska2050-TD","Aleksandra","Leo",NO,YES,NO,YES,NO,NO,YES,YES,"Maria","VOTE_VALID"
212,"KO","Izabela","Leszczyna",NO,YES,NO,YES,NO,NO,YES,YES,"Dorota","VOTE_VALID"
213,"PiS","Joanna","Lichocka",YES,NO,YES,NO,YES,YES,NO,NO,"Katarzyna","VOTE_VALID"
214,"PiS","Krzysztof","Lipiec",YES,NO,YES,NO,YES,YES,NO,NO,"Bogdan","VOTE_VALID"
215,"Lewica","Łukasz","Litewka",NO,YES,NO,YES,NO,NO,YES,YES,"Karol","VOTE_VALID"
216,"PiS","Grzegorz","Lorek",YES,NO,YES,NO,YES,YES,NO,NO,"Andrzej","VOTE_VALID"
217,"PSL-TD","Radosław","Lubczyk",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
218,"KO","Katarzyna","Lubnauer",NO,YES,NO,YES,NO,NO,YES,YES,"Anna","VOTE_VALID"
219,"Polska2050-TD","Adam","Luboński",NO,YES,NO,YES,NO,NO,YES,YES,"Sławomir","VOTE_VALID"
220,"KO","Artur","Łącki",NO,YES,NO,YES,NO,NO,YES,YES,"Jarosław","VOTE_VALID"
221,"KO","Alicja","Łepkowska-Gołaś",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
222,"KO","Dorota","Łoboda",NO,YES,NO,YES,NO,NO,YES,YES,"Ewa","VOTE_VALID"
223,"KO","Krystian","Łuczak",NO,YES,NO,YES,NO,NO,YES,YES,"Marek","VOTE_VALID"
224,"PiS","Sebastian","Łukaszewicz",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
225,"PiS","Marzena","Machałek",YES,NO,YES,NO,YES,YES,NO,NO,"Anna","VOTE_VALID"
226,"PiS","Antoni","Macierewicz",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
227,"PiS","Marlena","Maląg",YES,NO,YES,NO,YES,YES,NO,NO,"Magdalena","VOTE_VALID"
228,"PiS","Ewa","Malik",YES,NO,YES,NO,YES,YES,NO,NO,"Danuta","VOTE_VALID"
229,"PSL-TD","Mirosław","Maliszewski",NO,YES,NO,YES,NO,NO,YES,YES,"Wojciech","VOTE_VALID"
