"abstain","date","description","kind","no","notParticipating","sitting","sittingDay","term","title","totalVoted","votes.MP","votes.club","votes.firstName","votes.lastName","votes.secondName","votes.vote","votingNumber","yes"
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,50,"PiS","Krzysztof","Ciecióra","Jan","YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,51,"PiS","Janusz","Cieszyński","Antoni","YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,52,"PiS","Michał","Cieślak",NA,"YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,53,"Polska2050","Żaneta","Cwalina-Śliwowska",NA,"YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,54,"PiS","Krzysztof","Czarnecki","Władysław","YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,55,"PiS","Witold","Czarnecki","Wojciech","YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,56,"PiS","Przemysław","Czarnek",NA,"YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,57,"PiS","Arkadiusz","Czartoryski",NA,"YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,58,"Nowa_Lewica","Włodzimierz","Czarzasty",NA,"YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,59,"Nowa_Lewica","Jacek","Czerniak","Andrzej","YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,60,"KO","Zofia","Czernow",NA,"YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,61,"PiS","Anita","Czerwińska",NA,"YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,62,"PiS","Katarzyna","Czochara","Beata","YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,63,"Polska2050","Sławomir","Ćwik",NA,"YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,64,"PiS","Władysław","Dajczak",NA,"YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,65,"PiS","Anna","Dąbrowska-Banaszek",NA,"YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,66,"PiS","Zbigniew","Dolata",NA,"YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,67,"KO","Barbara","Dolniak",NA,"YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,68,"KO","Andrzej","Domański","Jan","YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,69,"PiS","Bartłomiej","Dorywalski",NA,"YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,70,"KO","Robert","Dowhan",NA,"YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,71,"PiS","Przemysław","Drabek","Mieczysław","YES",2,458
0,"2023-11-13T18:02:12","w sprawie ustalenia liczby wicemarszałków Sejmu","ELECTRONIC",0,2,1,1,10,"Pkt. 2 Poselskie projekty uchwał w sprawie ustalenia liczby Wicemarszałków Sejmu RP (druki nr 1 i 2)",458,72,"PiS","Elżbieta","Duda",NA,"YES",2,458
