"MP","club","firstName","lastName","listVotes.GROSZKOWSKI JAKUB","listVotes.WRÓBLEWSKI MIROSŁAW","secondName","vote"
102,"KO","Piotr","Głowski",NO,YES,"Krzysztof","VOTE_VALID"
103,"KO","Marta","Golbik",NO,YES,"Joanna","VOTE_VALID"
104,"PiS","Małgorzata","Golińska",YES,NO,"Joanna","VOTE_VALID"
105,"PiS","Kazimierz","Gołojuch",YES,NO,"Edward","VOTE_VALID"
106,"Polska2050-TD","Adam","Gomoła",NO,YES,"Michał","VOTE_VALID"
107,"PiS","Robert","Gontarz",YES,NO,NA,"VOTE_VALID"
108,"KO","Stanisław","Gorczyca",NO,YES,"Andrzej","VOTE_VALID"
109,"PiS","Mariusz","Gosek",YES,NO,"Marek","VOTE_VALID"
110,"Lewica","Daria","Gosek-Popiołek",NO,YES,"Iwona","VOTE_VALID"
111,"PiS","Małgorzata","Gosiewska",YES,NO,"Maria","VOTE_VALID"
112,"Polska2050-TD","Piotr","Górnikiewicz",NO,YES,"Tadeusz","VOTE_VALID"
113,"PiS","Agnieszka","Górska",YES,NO,"Beata","VOTE_VALID"
114,"KO","Krzysztof","Grabczuk",NO,YES,NA,"VOTE_VALID"
115,"KO","Jan","Grabiec",NO,YES,"Stanisław","VOTE_VALID"
116,"PiS","Marcin","Grabowski",YES,NO,NA,"VOTE_VALID"
117,"Polska2050-TD","Michał","Gramatyka",NO,YES,"Sebastian","VOTE_VALID"
118,"KO","Małgorzata","Gromadzka",NO,YES,NA,"VOTE_VALID"
119,"PiS","Marek","Gróbarczyk",YES,NO,NA,"VOTE_VALID"
120,"PSL-TD","Andrzej","Grzyb",NO,YES,"Marian","VOTE_VALID"
121,"PiS","Andrzej","Gut-Mostowy",YES,NO,NA,"VOTE_VALID"
122,"PiS","Kazimierz","Gwiazdowski",YES,NO,NA,"VOTE_VALID"
123,"PiS","Marcin","Gwóźdź",YES,NO,"Piotr","VOTE_VALID"
124,"KO","Marek","Gzik",NO,YES,"Krzysztof","VOTE_VALID"
125,"KO","Krzysztof","Habura",NO,YES,"Stefan","VOTE_VALID"
126,"KO","Agnieszka","Hanajczyk",NO,YES,"Małgorzata","VOTE_VALID"
127,"KO","Iwona","Hartwich",NO,YES,NA,"VOTE_VALID"
128,"Polska2050-TD","Paulina","Hennig-Kloska",NO,YES,NA,"VOTE_VALID"
129,"PSL-TD","Krzysztof","Hetman",NO,YES,"Andrzej","VOTE_VALID"
130,"PiS","Czesław","Hoc",YES,NO,NA,"VOTE_VALID"
131,"PiS","Zbigniew","Hoffmann",YES,NO,"Grzegorz","VOTE_VALID"
132,"KO","Marek","Hok",NO,YES,"Tomasz","VOTE_VALID"
133,"Polska2050-TD","Szymon","Hołownia",NO,YES,"Franciszek","VOTE_VALID"
134,"PiS","Marcin","Horała",YES,NO,"Michał","VOTE_VALID"
135,"KO","Łukasz","Horbatowski",NO,YES,NA,"VOTE_VALID"
136,"PiS","Paweł","Hreniak",YES,NO,"Marek","VOTE_VALID"
137,"PiS","Paweł","Jabłoński",YES,NO,NA,"VOTE_VALID"
