"MP","club","firstName","lastName","listVotes.HOŁOWNIA SZYMON","listVotes.WITEK ELŻBIETA","secondName","vote"
124,"KO","Marek","Gzik",YES,NO,"Krzysztof","VOTE_VALID"
125,"KO","Krzysztof","Habura",YES,NO,"Stefan","VOTE_VALID"
126,"KO","Agnieszka","Hanajczyk",YES,NO,"Małgorzata","VOTE_VALID"
127,"KO","Iwona","Hartwich",YES,NO,NA,"VOTE_VALID"
128,"Polska2050","Paulina","Hennig-Kloska",YES,NO,NA,"VOTE_VALID"
129,"PSL","Krzysztof","Hetman",YES,NO,"Andrzej","VOTE_VALID"
130,"PiS","Czesław","Hoc",NO,YES,NA,"VOTE_VALID"
131,"PiS","Zbigniew","Hoffmann",NO,YES,"Grzegorz","VOTE_VALID"
132,"KO","Marek","Hok",YES,NO,"Tomasz","VOTE_VALID"
133,"Polska2050","Szymon","Hołownia",YES,NO,"Franciszek","VOTE_VALID"
134,"PiS","Marcin","Horała",NO,YES,"Michał","VOTE_VALID"
135,"KO","Łukasz","Horbatowski",YES,NO,NA,"VOTE_VALID"
136,"PiS","Paweł","Hreniak",NO,YES,"Marek","VOTE_VALID"
137,"PiS","Paweł","Jabłoński",NO,YES,NA,"VOTE_VALID"
138,"KO","Klaudia","Jachira",YES,NO,"Krystyna","VOTE_VALID"
139,"PiS","Marek","Jakubiak",NO,YES,NA,"VOTE_VALID"
140,"KO","Maria","Janyska",YES,NO,"Małgorzata","VOTE_VALID"
141,"KO","Michał","Jaros",YES,NO,NA,"VOTE_VALID"
142,"KO","Patryk","Jaskulski",YES,NO,"Bartłomiej","VOTE_VALID"
143,"KO","Danuta","Jazłowiecka",YES,NO,"Maria","VOTE_VALID"
144,"KO","Dariusz","Joński",YES,NO,NA,"VOTE_VALID"
145,"KO","Marcin","Józefaciuk",YES,NO,NA,"VOTE_VALID"
146,"PiS","Norbert","Kaczmarczyk",NO,YES,"Jakub","VOTE_VALID"
147,"PiS","Filip","Kaczyński",NO,YES,"Roman","VOTE_VALID"
148,"PiS","Jarosław","Kaczyński",NO,YES,"Aleksander","VOTE_VALID"
149,"PiS","Piotr","Kaleta",NO,YES,"Marek","VOTE_VALID"
150,"PiS","Sebastian","Kaleta",NO,YES,"Jerzy","VOTE_VALID"
151,"PiS","Mariusz","Kałużny",NO,YES,NA,"VOTE_VALID"
152,"PiS","Mariusz","Kamiński",NO,YES,NA,"VOTE_VALID"
153,"KO","Piotr","Kandyba",YES,NO,NA,"VOTE_VALID"
154,"PiS","Jan","Kanthak",NO,YES,"Jakub","VOTE_VALID"
