"abstain","date","description","kind","no","notParticipating","sitting","sittingDay","term","title","topic","totalVoted","votes.MP","votes.club","votes.firstName","votes.lastName","votes.listVotes.1","votes.listVotes.2","votes.secondName","votes.vote","votingNumber","votingOptions.option","votingOptions.optionIndex","votingOptions.votes","yes"
0,"2023-11-13T15:17:22","wybór Marszałka Sejmu","ON_LIST",0,1,1,1,10,"Wybór Marszałka Sejmu RP","Wybór Marszałka Sejmu RP",459, 31,"KO","Marcin","Bosacki",YES,NO,"Rafał","VOTE_VALID",1,"HOŁOWNIA SZYMON",1,265,0
0,"2023-11-13T15:17:22","wybór Marszałka Sejmu","ON_LIST",0,1,1,1,10,"Wybór Marszałka Sejmu RP","Wybór Marszałka Sejmu RP",459, 32,"Konfederacja","Karina","Bosak",YES,NO,"Anna","VOTE_VALID",1,"WITEK ELŻBIETA",2,193,0
0,"2023-11-13T15:17:22","wybór Marszałka Sejmu","ON_LIST",0,1,1,1,10,"Wybór Marszałka Sejmu RP","Wybór Marszałka Sejmu RP",459, 33,"Konfederacja","Krzysztof","Bosak",YES,NO,NA,"VOTE_VALID",1,"HOŁOWNIA SZYMON",1,265,0
0,"2023-11-13T15:17:22","wybór Marszałka Sejmu","ON_LIST",0,1,1,1,10,"Wybór Marszałka Sejmu RP","Wybór Marszałka Sejmu RP",459, 34,"Konfederacja","Grzegorz","Braun",YES,NO,"Michał","VOTE_VALID",1,"WITEK ELŻBIETA",2,193,0
0,"2023-11-13T15:17:22","wybór Marszałka Sejmu","ON_LIST",0,1,1,1,10,"Wybór Marszałka Sejmu RP","Wybór Marszałka Sejmu RP",459, 35,"KO","Krzysztof","Brejza",YES,NO,NA,"VOTE_VALID",1,"HOŁOWNIA SZYMON",1,265,0
0,"2023-11-13T15:17:22","wybór Marszałka Sejmu","ON_LIST",0,1,1,1,10,"Wybór Marszałka Sejmu RP","Wybór Marszałka Sejmu RP",459, 36,"Polska2050","Agnieszka","Buczyńska",YES,NO,"MARIA","VOTE_VALID",1,"WITEK ELŻBIETA",2,193,0
0,"2023-11-13T15:17:22","wybór Marszałka Sejmu","ON_LIST",0,1,1,1,10,"Wybór Marszałka Sejmu RP","Wybór Marszałka Sejmu RP",459, 37,"PiS","Waldemar","Buda",NO,YES,"Grzegorz","VOTE_VALID",1,"HOŁOWNIA SZYMON",1,265,0
0,"2023-11-13T15:17:22","wybór Marszałka Sejmu","ON_LIST",0,1,1,1,10,"Wybór Marszałka Sejmu RP","Wybór Marszałka Sejmu RP",459, 38,"KO","Borys","Budka",YES,NO,"Piotr","VOTE_VALID",1,"WITEK ELŻBIETA",2,193,0
0,"2023-11-13T15:17:22","wybór Marszałka Sejmu","ON_LIST",0,1,1,1,10,"Wybór Marszałka Sejmu RP","Wybór Marszałka Sejmu RP",459, 39,"Polska2050","Elżbieta","Burkiewicz",YES,NO,"Jolanta","VOTE_VALID",1,"HOŁOWNIA SZYMON",1,265,0
0,"2023-11-13T15:17:22","wybór Marszałka Sejmu","ON_LIST",0,1,1,1,10,"Wybór Marszałka Sejmu RP","Wybór Marszałka Sejmu RP",459, 40,"PiS","Lidia","Burzyńska",NO,YES,"Ewa","VOTE_VALID",1,"WITEK ELŻBIETA",2,193,0
